AmId	HHKey	CustNum
300	23831	111888
301	20945	111978
302	23031	111996
303	13304	112022
304	14629	112055
305	18264	112057
306	14213	11207
308	15268	112107
309	7750	11211
310	22429	112205
311	6206	11224
312	24200	112258
313	14240	112693
316	19410	112888
317	17989	112949
318	1953	113002
319	18133	113066
320	12500	113148
321	7916	113168
322	8425	113221
323	9027	113263
324	7399	113307
325	6053	113343
326	11348	113344
327	10453	113367
328	3077	113369
329	1506	11338
330	18888	113550
331	13539	113557
332	503	113683
333	18212	113734
334	24176	113764
335	1615	113835
336	21997	113842
337	20976	113878
338	18959	113879
339	8643	113897
340	19360	113904
341	12081	113910
342	3772	113930
343	22820	113949
344	1169	11395
346	10963	114002
347	10963	114005
349	17122	114069
350	17936	114120
351	16863	114196
352	8135	11420
353	10802	114230
356	3752	114253
357	4065	11433
359	22698	114408
361	18571	114433
362	16675	114457
363	4980	114487
364	14900	114521
365	1557	114528
367	23862	114588
368	8443	11459
369	8443	11460
370	2061	114632
371	3453	114707
372	21735	114714
373	13363	114727
374	9282	114738
375	12770	114841
376	3028	114886
377	17412	114909
378	10860	114938
379	10471	114962
380	18503	115007
381	22567	115046
383	1699	115077
384	17976	115082
385	16314	115086
386	7575	115129
387	17005	115175
388	2866	115197
389	11031	115297
390	1589	115341
392	3428	115534
393	17616	115537
394	12051	115574
395	9008	115582
396	2570	115646
397	9450	115760
398	112	115788
399	3224	115814
400	24197	11591
401	16058	115963
402	22300	116057
403	15007	116127
404	14338	116180
406	81	116229
407	13350	116260
408	19005	116264
410	17142	116452
411	14236	11685
412	19347	116935
413	14771	116979
414	23667	117066
417	22883	117421
418	16129	117449
419	9789	11747
420	23146	117504
421	16310	117520
422	24080	117528
423	23136	117549
424	1578	117620
425	21983	11763
426	11306	117633
427	18634	117695
428	14773	117827
429	13652	117890
432	15241	118005
433	9399	118020
434	3568	118112
435	9109	118170
436	24325	118183
437	1017	118215
439	21992	118276
440	14288	118352
441	8503	118368
442	16940	11848
443	3175	118501
444	22798	11855
445	4500	118622
448	9882	118675
449	8902	118734
452	16316	118858
453	2888	118881
454	16060	118973
455	23199	119013
456	20754	119015
457	6912	119034
458	20755	119090
461	22268	119190
462	16416	119220
464	19139	119258
465	22233	119281
466	22206	119289
467	469	119311
468	21357	119328
469	6521	119341
472	4177	119407
473	24033	119449
474	12191	119481
476	11641	119662
477	23306	119682
478	20869	119762
480	17975	119800
481	8476	119805
482	17177	119810
483	1366	119913
484	6221	119963
485	11240	119968
486	3380	119974
487	8309	120007
488	17608	120016
489	12313	120027
490	10945	12006
491	15782	120060
492	19123	120082
494	9350	120139
496	12511	120185
497	10205	12022
498	7604	120289
499	22469	120293
500	6998	120341
501	3884	120362
502	21514	120391
503	8572	12041
504	16999	120419
505	7191	120460
508	20252	120520
509	21886	120527
510	20607	120559
511	13786	120578
512	5300	120626
513	10434	120679
514	15587	120705
515	5474	120717
516	13314	120718
517	22163	120756
518	21611	120810
519	15572	120874
520	14675	120900
521	21843	120911
522	21369	121029
524	20670	12108
525	7364	121128
526	5701	1212
527	14851	121200
529	1419	121214
530	10530	121248
531	21256	121317
532	8663	121341
533	11671	121342
535	16591	121362
536	4835	121402
537	18232	121412
538	16504	121418
539	8286	121424
540	20973	121427
542	17359	121472
543	11061	121552
544	13727	12156
545	17097	121617
546	7085	121630
547	22163	121637
548	4498	121645
549	18890	121674
550	16472	121689
551	13466	121706
553	9553	121723
555	5237	121755
556	16643	12181
557	4249	121816
558	6556	121919
559	7917	121955
560	15952	121995
561	23369	122050
562	14202	122051
563	13002	122061
564	17882	122138
565	8120	122149
566	1680	122178
567	8913	122186
568	16643	12220
570	3536	122224
571	8272	122228
572	15831	12223
573	9808	122235
574	23025	122322
575	6704	122365
576	4959	122380
580	8920	122486
581	20256	122592
583	20389	122679
585	9001	122703
586	17691	122756
587	5398	122852
588	8688	12288
590	16824	122964
591	4543	12302
592	5147	123026
593	19284	123128
594	5522	12313
595	16296	123174
596	20696	123316
597	21997	123354
598	17336	123365
599	12716	123412
601	23830	123599
602	22216	123638
604	18632	123735
605	9897	123804
606	15135	123857
607	23487	123869
608	11466	123960
609	6421	123961
610	777	123973
612	11014	124132
613	14837	124165
614	1786	124176
615	21313	124183
616	17996	124237
618	10842	124256
619	12446	124289
620	20696	124311
621	19189	124338
622	13768	124363
623	11168	124388
624	17144	124400
625	9473	124452
626	23874	124479
627	8751	124556
628	14595	124585
629	20830	124601
630	6114	124620
631	7418	124657
632	11264	124747
633	23173	124777
634	4272	124823
635	13340	124867
637	11320	12493
639	23865	124949
640	16694	124990
642	16859	125157
643	12855	125161
644	17919	125272
645	16105	125326
646	8518	125347
647	6138	12537
648	399	125384
649	6831	12546
650	23006	125464
652	23748	12558
653	12549	12564
654	18994	125674
655	11690	125710
656	21915	125768
657	10896	125787
660	23105	125860
661	14654	125926
663	21308	125956
664	23899	126010
665	2154	12602
666	23697	126065
667	14148	126145
669	5960	126175
670	216	126231
671	4967	126245
672	17576	126259
673	17103	126263
674	2625	126422
675	12292	126436
677	3924	126456
679	82	126515
680	20150	126524
681	64	12659
682	23124	12661
683	12804	126668
684	23431	126687
686	5950	12674
688	7208	126761
689	9000	126815
690	10904	126877
691	16988	126882
692	10149	126899
693	22970	126934
694	3005	126986
695	9489	12700
696	22271	127024
699	15122	127309
700	8189	127335
701	14882	12737
704	328	127542
705	328	127543
706	19637	127553
707	21903	127634
708	12210	127648
709	4776	127673
710	8043	127688
711	24084	127764
712	23909	127790
713	18832	12781
714	15648	127853
715	18672	127866
716	23460	12788
717	16751	1279
718	8259	127919
719	16390	127929
720	4885	127938
721	1465	127981
722	3399	127992
723	22926	128028
724	21204	128033
725	10451	12808
726	6777	128093
727	19398	128124
728	6387	128146
729	5598	128161
730	22203	128318
731	16055	128346
732	16255	12835
733	16483	128397
734	16989	128480
735	4310	128545
736	24215	128602
738	10208	128678
739	2839	128758
740	21594	128770
741	7416	12878
742	17659	128797
743	3804	128808
744	22608	128883
745	15988	128885
746	12645	128933
747	4323	128943
749	9860	129235
750	21276	129240
754	20175	129381
755	14314	129453
757	10014	129619
759	3521	129702
760	17247	12973
761	18429	129816
762	19644	129839
763	13475	129905
764	4523	129926
765	19255	12997
766	12789	130026
767	6116	130032
768	22877	130049
769	11827	130057
770	17363	130070
771	23777	130087
772	13839	130118
773	19298	130149
774	21366	130174
776	11343	1303
777	24188	130311
778	2909	130382
779	6159	130466
780	24222	130541
781	9415	130579
783	20707	130610
784	8736	130612
785	3333	130780
786	17629	130836
787	23202	130844
788	10746	130923
789	17917	130955
790	6576	130969
792	2846	131051
793	3080	131082
795	12217	131110
796	889	131138
797	14966	131175
798	13016	13121
799	23381	131213
800	15188	131222
801	12097	131284
802	9823	131287
803	9029	131347
804	21468	131357
806	2533	131387
807	8979	13145
808	8994	131485
809	7209	131577
810	5679	131580
811	18753	131587
812	20961	131590
813	2018	131608
814	21807	131625
815	6383	131635
816	3512	131641
817	6053	131657
818	9833	13167
819	15195	131687
820	18036	13172
821	15827	131800
823	20159	131823
824	6177	131943
826	17905	131988
827	3479	131996
828	6896	132043
829	15540	132065
830	2811	132066
831	4589	132076
832	23542	132114
833	8293	132127
834	7378	132152
835	19968	13217
836	23434	132251
837	17754	132267
838	7199	132341
839	4303	132360
840	11474	132417
841	2534	132485
842	19867	132592
843	7226	132594
844	18473	132678
845	11071	13270
847	15659	132863
848	11944	13291
849	710	132960
850	6313	132964
851	15958	13297
852	13956	133060
853	16935	133072
854	24067	133091
857	11430	13318
858	13822	13330
859	15387	133398
860	10868	133411
861	6314	133419
862	13821	133454
863	12593	133469
864	19316	133560
865	14603	133601
866	2254	133650
868	10729	13373
869	21320	13378
870	504	133828
871	18053	133835
872	16645	133849
873	21815	133853
874	14835	13388
875	8406	13397
876	19422	133982
877	5598	133987
878	17282	134009
879	23019	134010
880	22488	134011
881	10063	134086
882	11594	1341
883	13616	13410
885	11752	134265
886	6109	134275
887	18946	134281
888	13490	134288
889	6875	134295
890	20894	134304
891	22574	134378
892	14222	134412
893	15433	13442
894	2011	134509
896	10915	13456
898	12409	134592
899	14340	134598
900	23405	134611
901	5592	134626
903	10718	134644
904	5836	134654
905	15543	13469
906	7927	134695
907	23016	134708
908	20132	134725
909	24054	134734
910	13747	134803
911	19908	134858
912	18933	134897
913	12111	134909
915	12021	134929
917	8176	135004
918	19047	135157
919	6787	135171
920	18328	135220
921	16220	135233
923	11468	135304
924	13177	135328
925	23309	135403
927	22596	135435
928	16265	135550
930	20321	135559
931	20872	135569
932	24086	135595
933	19540	135610
934	13448	135611
935	6676	13562
936	15014	135647
937	13120	135673
938	3567	135679
939	21632	13569
940	19292	135696
941	13107	135718
942	17994	135763
943	9510	135777
944	20194	135818
945	19600	135826
946	12554	135839
947	2200	135864
948	7164	135946
949	13371	135966
950	2826	135974
951	3752	136036
952	20324	136050
954	23752	136081
955	22669	136086
956	10650	136092
957	6079	136100
959	11075	13617
960	12986	136186
961	20264	136189
963	2261	136232
964	22278	136249
965	15966	136293
966	21296	136349
967	6921	136382
968	17264	136451
970	4811	1365
971	913	136507
972	23536	136530
973	17768	136539
974	1924	136563
975	23582	136573
976	10307	136582
979	22713	136735
981	904	136845
982	17955	136880
983	14035	136888
984	4990	136905
985	2183	136910
986	6684	136953
987	14755	13697
988	3030	136987
989	7927	13699
990	16668	137071
991	8197	137076
992	19387	137129
993	16986	137183
994	15666	137194
995	17766	137210
996	23199	13729
997	899	137307
998	1186	137312
1000	18932	137479
1001	4223	137484
1002	20474	13753
1003	9435	137553
1004	11874	13766
1005	81	13767
1006	6151	137723
1007	16312	137730
1008	14260	137778
1009	20358	137868
1010	9067	137966
1011	24392	137978
1012	17435	137989
1013	2877	138006
1014	20265	138013
1015	7816	138016
1017	13832	138027
1018	193	13805
1019	23291	138067
1020	22435	13809
1021	12383	13814
1022	13239	13816
1023	3609	138193
1024	694	138258
1025	7312	138303
1026	18080	138306
1028	445	138317
1029	19933	13834
1030	11917	138363
1031	22489	13838
1032	13732	13840
1033	12917	138421
1035	15215	138570
1036	8340	13861
1037	6907	138624
1038	19361	138637
1039	525	138654
1040	17101	13866
1041	9272	138669
1042	37	138699
1043	20005	138735
1044	2068	13874
1045	11766	138760
1046	2369	138767
1047	10953	138798
1048	24074	138810
1049	11220	138816
1050	6503	138819
1051	20165	138830
1052	21568	138847
1054	10413	138895
1055	18750	138970
1056	2168	138996
1057	4485	139020
1059	6094	139031
1060	14790	139038
1061	21068	139058
1062	7544	139076
1063	23798	139135
1064	18476	139157
1065	9981	139191
1066	11242	139215
1067	7328	139249
1068	1239	139352
1069	14355	139416
1070	11192	139483
1071	5075	139579
1072	6104	139637
1073	7198	139686
1074	15540	139718
1075	18428	139742
1076	20567	139780
1077	7247	139783
1078	23365	139787
1079	10526	139790
1080	13512	139830
1081	6137	139840
1082	23985	139860
1083	18141	139862
1084	22246	139884
1085	12822	139899
1086	9952	139904
1087	7792	139961
1088	22874	139985
1089	13993	139992
1090	20333	140003
1091	1759	140023
1092	10296	140060
1093	20682	140076
1095	6665	140121
1096	19034	140154
1097	13472	140158
1098	2125	140180
1099	1068	140210
1100	11106	140263
1101	11813	140293
1102	9516	140325
1103	13650	140356
1104	3832	140362
1105	21297	140374
1106	4968	140399
1107	6357	140445
1108	16294	140486
1109	2982	140509
1110	20141	140511
1111	17554	140525
1112	22958	140615
1113	22290	140647
1114	8364	140650
1115	7518	140680
1116	1144	140701
1117	8397	140705
1118	20732	140773
1119	8034	140869
1120	9279	14092
1121	22183	140933
1122	24261	140956
1127	19862	141110
1128	15662	14113
1129	3052	141149
1130	23947	141155
1131	7878	141183
1132	18203	141197
1133	20806	141203
1134	14848	141222
1136	1042	141296
1137	23393	141323
1138	7504	141327
1139	7316	141352
1140	11866	141358
1141	4353	141368
1142	18418	141433
1143	6079	141441
1145	21898	141504
1146	7051	141517
1147	8911	14152
1148	18743	141548
1149	17630	141558
1150	12951	141575
1154	7635	14162
1155	18522	141635
1156	6164	141644
1157	6798	141664
1158	9378	141669
1159	20263	141709
1160	24352	141749
1161	2582	141788
1162	16063	141802
1163	20772	141817
1165	23631	141883
1167	17629	141958
1169	9387	141988
1170	9280	142025
1172	13324	142136
1173	13262	142137
1175	7251	142171
1176	10761	142174
1177	4021	142187
1178	13191	142191
1179	11330	142226
1180	7160	142270
1182	13878	142322
1183	18140	142343
1184	14603	142372
1185	8969	142389
1186	19320	14246
1187	22328	142531
1188	22705	142541
1189	21103	142547
1190	4348	14255
1192	19382	142559
1193	9931	142653
1194	6960	142665
1195	2173	142672
1197	2768	142714
1198	9488	142800
1199	2758	142842
1200	9731	142851
1201	1537	142853
1202	2829	142872
1203	22313	142892
1204	2970	142901
1205	11068	142905
1206	15926	142936
1207	51	142951
1208	23741	142972
1209	2545	14304
1210	7556	143042
1211	12281	143048
1212	1711	143119
1213	3472	143170
1214	7927	143194
1215	8135	143197
1216	7993	143206
1217	12202	143224
1218	4037	143242
1219	16476	143262
1220	222	143263
1221	20873	143270
1222	17515	143278
1223	11519	143288
1224	14677	143314
1226	1413	143395
1227	11913	143425
1228	4959	143435
1229	6060	143499
1230	801	143515
1231	2798	143516
1232	11016	143525
1233	783	143529
1234	20305	143548
1236	24360	143570
1237	21417	143576
1238	23075	143596
1239	11528	143662
1240	14529	143669
1241	10443	143678
1242	4754	143702
1243	21049	143712
1244	21106	143734
1245	18800	143759
1246	23177	143767
1247	19422	143769
1249	16671	143822
1250	17420	143835
1251	5552	143850
1253	23496	143988
1254	11995	144013
1255	11119	144023
1256	14848	144027
1257	13668	144044
1258	5026	14406
1259	5900	144088
1260	1966	144109
1261	22605	144115
1263	11611	144135
1264	21435	144138
1265	20457	144148
1266	2824	144150
1268	1367	144190
1269	14394	144191
1270	2340	144218
1271	6025	144231
1272	326	144233
1273	2781	144241
1274	9066	144243
1276	13791	144253
1277	15459	14426
1278	23591	144263
1279	14072	144315
1280	11648	144370
1281	9492	144372
1282	14419	144395
1284	20305	144491
1285	3866	144507
1286	3379	144587
1288	4397	144737
1289	12242	144760
1291	24404	144829
1292	14441	144835
1293	7354	144851
1294	22776	144853
1295	8974	144863
1296	18877	144873
1297	8735	144875
1298	6260	14492
1299	12599	144921
1300	22312	144938
1301	346	14498
1303	12673	145037
1304	2471	145118
1305	11860	145120
1306	21386	145154
1307	15503	145175
1308	8661	145176
1309	1468	145207
1310	5557	145277
1312	991	14529
1313	22275	145298
1315	8234	145310
1317	8113	14535
1319	5198	145380
1320	22296	145383
1321	353	145388
1322	20475	145390
1323	10828	145417
1324	8208	14543
1325	8881	145432
1326	368	145442
1327	10657	145551
1328	12578	145566
1329	6234	145618
1330	13143	145626
1331	8583	145630
1332	3566	145679
1333	5953	145710
1334	6469	145727
1335	11062	145750
1336	19348	145774
1338	23268	145784
1339	10395	145796
1340	17392	145864
1341	22526	145977
1342	3994	146030
1343	20390	146033
1344	14465	146043
1345	17436	146102
1347	23385	146214
1348	12383	14622
1349	10684	146233
1350	16711	146276
1351	8018	146279
1352	16602	146297
1353	6662	146303
1354	15433	146316
1356	10795	146320
1357	7776	146324
1358	14549	14642
1359	11991	146420
1360	14830	146440
1361	6809	146481
1363	5791	146505
1364	3715	146506
1365	23461	146523
1366	17209	146576
1367	23149	146585
1368	16591	146614
1369	1528	146615
1370	20288	146682
1371	8352	146700
1372	887	146701
1373	4685	146744
1374	5734	146746
1375	6986	146762
1376	4505	146775
1377	23807	146777
1378	14163	146782
1379	10795	146785
1381	22708	146829
1382	7847	146831
1383	2026	146842
1384	11169	146868
1385	16835	146895
1386	22790	146950
1387	7327	147018
1388	16571	147023
1390	12227	147036
1391	21953	147053
1392	11309	147082
1393	11172	14709
1394	23723	147114
1395	6578	147147
1396	20631	147176
1397	13772	147190
1398	20217	147230
1399	404	147231
1400	7557	147245
1401	11822	147246
1402	1242	147270
1403	11003	147305
1404	10784	147320
1405	9783	147326
1406	7372	147334
1407	9369	147338
1408	6408	147353
1409	8527	147404
1410	16663	147432
1411	16050	147450
1412	18981	147483
1415	14995	147538
1416	13478	147595
1418	17904	147609
1419	121	14768
1420	13202	147708
1421	4573	147722
1423	18884	147789
1424	3184	147797
1426	2022	147843
1428	864	147953
1429	21682	147973
1431	3265	148016
1432	22316	148069
1433	10696	1481
1434	14436	148156
1435	21896	148172
1436	4297	148192
1437	16866	148221
1438	23074	148247
1440	18690	148252
1441	20611	148274
1442	15510	148285
1443	11099	148311
1444	2681	148322
1445	14635	148352
1446	7154	148388
1447	2771	148391
1448	6577	148419
1450	7133	148424
1451	11739	148461
1452	13935	148530
1454	3677	148535
1455	6462	148554
1456	15163	148558
1457	9277	148606
1458	5136	148607
1459	22257	148628
1461	11449	148657
1462	9378	148721
1463	6631	148723
1464	18926	148724
1465	13794	148741
1466	17438	148743
1467	777	148773
1468	17008	148803
1469	15726	148819
1470	328	148835
1471	12115	148842
1473	3011	148858
1474	8217	148868
1475	21582	148871
1476	15237	148890
1477	2208	148917
1478	17560	148923
1479	2494	148931
1480	9096	148939
1481	9849	148943
1482	779	148944
1483	8646	148949
1484	19984	148953
1485	24366	148961
1486	5568	149066
1487	21864	149088
1488	15558	149107
1489	14222	149133
1490	11285	149134
1491	301	149136
1492	23559	149173
1494	2769	149219
1497	11124	149298
1498	12200	149320
1499	9723	149337
1500	19462	1494
1502	7532	149459
1504	5231	149515
1505	8909	14952
1507	11018	149534
1508	22252	149546
1509	4897	149550
1510	23429	149585
1513	1157	149651
1514	9957	149652
1515	22242	149675
1516	20490	149681
1517	4785	149695
1518	10012	149712
1519	18118	149714
1520	406	149738
1521	17087	149763
1522	17975	149785
1523	23810	149835
1524	7922	149838
1525	21590	149929
1526	21278	149932
1527	2793	149998
1528	10612	150038
1529	9098	150049
1530	18415	150051
1531	19584	150068
1533	12940	150101
1534	12457	150126
1535	15502	150130
1536	21663	150131
1537	19836	15014
1538	21282	150144
1539	4979	150146
1541	6950	150213
1542	8438	150270
1543	4864	150278
1544	10551	150288
1545	24001	15031
1546	14704	150314
1547	8263	150316
1549	12931	150350
1550	14782	150376
1552	11691	150379
1553	23555	150438
1554	19317	150476
1555	23673	150553
1556	7913	150597
1557	10712	150643
1558	19763	150644
1559	16080	150669
1560	7738	150697
1561	2027	150717
1562	1567	150730
1563	10690	150748
1565	15371	150785
1566	2840	150804
1567	15290	150811
1568	16660	150829
1569	19123	150837
1570	19127	150846
1571	5404	150859
1572	5197	150869
1573	23788	150902
1575	12391	15095
1576	9691	150957
1578	20434	150975
1579	22420	150989
1580	2795	151026
1581	9653	151031
1582	5933	151070
1585	18021	151132
1586	21708	15115
1588	6747	151213
1589	15655	151249
1590	4290	151252
1591	15456	151309
1593	10749	151404
1594	17220	151447
1595	4001	151451
1596	11806	151462
1597	23914	15148
1598	1467	151509
1599	21122	151517
1600	12584	15152
1601	3901	151522
1602	13635	151535
1603	12828	151546
1604	2065	151558
1605	3085	151560
1606	11416	151567
1607	9773	15158
1609	2081	151596
1611	8844	151651
1612	13136	15167
1614	21403	151721
1615	10951	151741
1616	12379	151750
1617	20995	151792
1618	22254	15182
1619	16232	151843
1620	12967	151847
1621	22938	151854
1622	18329	151855
1623	2685	151876
1624	5906	151918
1625	15824	151948
1626	11038	151950
1629	23160	151992
1630	1307	152020
1631	2372	152033
1632	10993	152053
1633	23791	152056
1634	6105	152108
1635	1180	152114
1636	9764	152139
1638	12468	152155
1639	12210	152165
1641	5012	152191
1642	21800	152210
1643	8736	152212
1644	12333	152215
1645	1561	152230
1646	6789	152231
1648	16450	152277
1649	22641	152279
1650	13900	152307
1651	10684	152312
1652	10391	152315
1653	8922	152325
1654	23517	152349
1655	23539	152364
1656	2551	152381
1657	14770	152387
1658	8489	152388
1659	15502	152420
1660	19323	152434
1661	15627	152461
1662	12133	152463
1663	22327	152488
1664	9366	152494
1665	23475	152513
1666	23105	152531
1667	5744	152562
1668	24264	15257
1669	3621	152572
1670	11400	152609
1671	4501	152638
1672	22637	152676
1673	23455	152708
1674	2462	152725
1675	19105	152742
1676	1473	152764
1677	15666	152812
1678	4148	152827
1679	13745	15284
1680	14032	15285
1681	23089	152878
1682	13662	152904
1683	14919	152924
1684	22451	152931
1685	4603	152940
1686	23190	152946
1687	13662	152953
1688	20879	153039
1690	16702	153101
1691	14449	153105
1693	16385	15316
1695	24192	153190
1696	8067	153214
1697	2032	153239
1698	1942	153248
1699	12740	153278
1700	15018	153279
1701	5137	153316
1702	22316	153334
1703	4056	153341
1704	10922	15342
1705	12926	153421
1706	11703	153433
1707	17421	153448
1708	12632	153501
1709	12882	153502
1710	21284	153506
1712	4984	153524
1713	583	153588
1714	8039	15363
1715	201	153630
1716	18867	153698
1719	23455	153721
1720	16039	15374
1721	7311	153746
1722	3612	153752
1723	24385	153774
1724	23041	153779
1725	24245	153789
1726	12682	153818
1727	441	15383
1728	18868	15385
1730	12187	153881
1731	6246	153899
1732	18209	153909
1733	1734	153958
1734	12584	15396
1735	11284	153963
1736	12632	153980
1737	12632	153981
1738	21125	154032
1739	2522	154035
1740	6393	154067
1741	18337	154068
1742	23397	15417
1743	2402	154205
1744	2286	154250
1745	14876	154263
1746	13530	154277
1747	2308	154283
1748	12516	154299
1749	23108	154307
1751	4898	154344
1752	18990	154366
1753	6784	154371
1754	21148	154389
1755	86	154414
1757	16987	154447
1758	13237	154456
1759	15670	154470
1760	20006	154492
1761	24127	154498
1762	2036	154512
1763	17921	154513
1764	6838	154530
1765	14298	154533
1766	5598	154536
1767	338	154560
1768	20012	154579
1769	14199	154582
1771	6044	15464
1772	4198	154671
1773	22615	154730
1774	18961	154752
1775	24000	15477
1776	1278	154783
1777	16399	154815
1778	5929	154823
1779	19663	154824
1780	15094	154833
1781	5215	154847
1782	16506	154881
1783	14803	154886
1784	19168	154895
1785	3240	154897
1786	11686	154926
1787	6986	154935
1788	2729	154941
1790	12659	154981
1791	1440	154985
1792	11655	155014
1793	9888	155018
1794	84	155044
1795	22832	155045
1796	23716	155049
1798	19897	155102
1799	21765	155108
1800	9803	155112
1801	178	155116
1802	6740	155162
1804	22414	155233
1805	23349	155236
1806	20122	155251
1807	13234	155294
1808	3330	155346
1809	9118	155351
1810	10141	155353
1811	10463	155362
1812	18981	155398
1813	23455	155403
1814	20568	155404
1815	13329	155416
1816	17566	155418
1818	21852	155443
1819	16307	155454
1820	284	15547
1821	23193	155487
1822	14871	155492
1823	81	155511
1824	12923	155522
1825	10732	155555
1826	10732	155556
1827	12651	155585
1828	22677	155597
1829	23370	155638
1830	13199	155640
1831	9525	155643
1832	2854	155691
1833	15498	155692
1834	13720	155693
1835	5723	155728
1836	23462	155739
1837	20557	155742
1838	5654	155749
1839	13290	155765
1840	2168	155776
1842	24375	155818
1843	8827	15585
1845	8910	155853
1846	24305	155855
1847	5969	155870
1848	10174	155904
1849	16564	155911
1850	8119	155912
1851	11694	155919
1852	7606	155944
1853	8248	155947
1854	9576	155963
1855	23079	155977
1856	1675	156027
1857	2856	156039
1859	23766	156068
1860	23420	156083
1861	19415	156105
1862	4938	156150
1863	23587	156163
1864	4485	156187
1865	11675	156208
1866	22507	156220
1867	19894	156246
1868	3462	156250
1869	21929	156254
1870	2174	156261
1871	7810	156262
1872	22303	15629
1873	11493	156296
1874	11493	156298
1875	6693	156320
1876	4084	156325
1877	14294	156327
1878	19906	156363
1879	10656	156366
1880	19781	156391
1881	13542	156393
1882	21510	156401
1883	8168	156416
1884	22285	156431
1885	11980	156441
1886	20743	156473
1888	12436	156487
1889	19324	156506
1890	23125	156513
1891	23712	156524
1893	23597	156536
1894	6375	15655
1895	19229	156578
1896	6674	156587
1897	3166	156589
1898	23003	156624
1899	12168	156664
1900	16685	156671
1902	21858	156741
1903	848	156743
1904	14144	156753
1905	14050	156757
1906	14514	156761
1907	5142	156773
1908	4755	156776
1910	7134	156796
1911	16109	156802
1912	7918	156810
1914	19123	156819
1915	8152	156821
1916	9688	156825
1917	22680	156848
