Ref,NUM_ACCTS,Deposit_Count,Deposit_Balance,Loan_Count,Loan_Balance,Nmc_count,Nmc_balance,Revenue,New,Yr10P,Tenure,Dormant,BillPay,DirectDeposit,Current,Gone,Total_Check,Total_MoneyMarket,Total_Savings,Total_CD,Total_Retirement,Total_Loan,Total_Equity,Total_AutoLoan,Total_Mortgage,Bal_Check,Bal_MoneyMarket,Bal_Savings,Bal_CD,Bal_Retirement,Bal_Loan,Bal_Equity,Bal_AutoLoan,Bal_Mortgage
14,2,2,0.224,0,0.000,0,0.000,0.102,0,1,12,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.185,0.000,0.039,0,0.000,0.000,0.000,0.000,0.000
15,2,2,17.364,0,0.000,0,0.000,0.499,0,0,6,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0.000,0.000,7.359,10.004,0.000,0.000,0.000,0.000,0.000
16,2,2,-0.322,0,0.000,0,0.000,0.090,0,0,5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.326,0.000,0.004,0,0.000,0.000,0.000,0.000,0.000
17,1,1,0.017,0,0.000,0,0.000,0.000,0,1,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.017,0,0.000,0.000,0.000,0.000,0.000
18,2,2,0.879,0,0.000,0,0.000,0.118,0,0,9,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.484,0.000,0.395,0,0.000,0.000,0.000,0.000,0.000
19,2,1,0.225,1,10.810,1,10.810,0.051,0,0,4,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.225,0,0.000,0.000,0.000,10.810,0.000
20,2,2,1.005,0,0.000,0,0.000,0.121,0,1,17,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.019,0.000,0.986,0,0.000,0.000,0.000,0.000,0.000
21,1,1,0.000,0,0.000,0,0.000,0.000,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000
22,1,1,0.001,0,0.000,0,0.000,0.000,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.001,0,0.000,0.000,0.000,0.000,0.000
23,3,2,0.045,1,13.467,1,13.467,1.118,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0.000,0.000,0.045,0,0.000,0.000,0.000,13.467,0.000
24,4,3,0.225,1,21.344,1,21.344,0.193,0,0,4,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0.000,0.000,0.225,0,0.000,0.000,0.000,21.344,0.000
25,3,2,3.495,1,14.174,1,14.174,0.145,0,1,14,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0.000,0.000,3.495,0,0.000,0.000,0.000,14.174,0.000
26,1,1,1.196,0,0.000,0,0.000,0.028,0,1,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,1.196,0,0.000,0.000,0.000,0.000,0.000
27,1,1,0.015,0,0.000,0,0.000,0.000,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.015,0,0.000,0.000,0.000,0.000,0.000
28,4,4,18.841,0,0.000,0,0.000,0.632,0,1,18,0,0,1,1,0,2,0,2,0,0,0,0,0,0,15.550,0.000,3.292,0,0.000,0.000,0.000,0.000,0.000
29,2,2,0.059,0,0.000,0,0.000,0.099,0,1,26,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0.034,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
30,2,2,0.348,0,0.000,0,0.000,0.105,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.311,0.000,0.037,0,0.000,0.000,0.000,0.000,0.000
31,1,1,0.000,0,0.000,0,0.000,0.000,0,1,25,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000
32,1,1,0.000,0,0.000,0,0.000,0.000,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000
33,2,2,0.443,0,0.000,0,0.000,0.108,0,0,4,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.418,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
34,2,2,1.200,0,0.000,0,0.000,0.125,0,1,14,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1.175,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
35,2,1,0.200,1,13.405,1,13.405,0.418,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.000,0.200,0,0.000,13.405,0.000,0.000,0.000
36,2,2,0.200,0,0.000,0,0.000,0.102,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.175,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
37,3,3,58.674,0,0.000,0,0.000,1.570,0,1,34,0,0,1,1,0,2,0,1,0,0,0,0,0,0,51.166,0.000,7.508,0,0.000,0.000,0.000,0.000,0.000
38,2,1,0.200,1,7.502,1,7.502,0.036,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.200,0,0.000,0.000,0.000,7.502,0.000
39,2,2,0.226,0,0.000,0,0.000,0.103,0,1,12,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.201,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
40,2,2,0.026,0,0.000,0,0.000,0.098,0,0,6,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.001,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
41,2,2,0.153,0,0.000,0,0.000,0.101,0,1,14,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.078,0.000,0.075,0,0.000,0.000,0.000,0.000,0.000
42,4,3,0.030,1,5.099,1,5.099,0.022,0,0,8,0,0,1,1,0,0,0,3,0,0,0,0,1,0,0.000,0.000,0.030,0,0.000,0.000,0.000,5.099,0.000
43,4,2,0.045,2,25.794,2,25.794,1.272,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0.000,0.000,0.045,0,0.000,0.000,0.000,25.794,0.000
44,2,1,0.000,1,8.288,1,8.288,0.688,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.000,0.000,8.288,0.000
45,4,3,16.846,1,0.000,1,0.000,0.496,0,1,17,0,1,1,1,0,1,0,2,0,0,0,1,0,0,11.188,0.000,5.658,0,0.000,0.000,0.000,0.000,0.000
46,1,1,3.197,0,0.000,0,0.000,0.074,0,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.000,0.000,3.197,0,0.000,0.000,0.000,0.000,0.000
47,2,1,0.100,1,6.373,1,6.373,0.109,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.100,0,0.000,0.000,0.000,6.373,0.000
48,1,1,0.005,0,0.000,0,0.000,0.000,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.005,0,0.000,0.000,0.000,0.000,0.000
49,2,2,60.331,0,0.000,0,0.000,1.558,0,0,4,0,1,1,1,0,1,0,1,0,0,0,0,0,0,10.326,0.000,50.005,0,0.000,0.000,0.000,0.000,0.000
50,2,2,12.663,0,0.000,0,0.000,0.405,0,0,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.734,0.000,11.929,0,0.000,0.000,0.000,0.000,0.000
51,2,2,24.951,0,0.000,0,0.000,0.609,0,1,32,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0.000,0.000,24.951,0,0.000,0.000,0.000,0.000,0.000
52,2,1,0.550,1,1.581,1,1.581,0.027,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.550,0,0.000,0.000,0.000,1.581,0.000
53,2,2,0.029,0,0.000,0,0.000,0.098,0,0,10,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.004,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
54,3,2,0.173,1,21.488,1,21.488,0.192,0,0,9,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0.127,0.000,0.046,0,0.000,0.000,0.000,21.488,0.000
55,9,7,66.181,2,29.365,2,29.365,2.025,0,1,15,0,1,1,1,0,3,0,4,0,0,0,0,2,0,3.988,0.000,62.193,0,0.000,0.000,0.000,29.365,0.000
56,3,2,0.080,1,5.524,1,5.524,0.025,0,0,7,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0.000,0.000,0.080,0,0.000,0.000,0.000,5.524,0.000
57,2,1,0.030,1,21.008,1,21.008,0.127,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.030,0,0.000,0.000,0.000,21.008,0.000
58,4,2,0.050,2,34.040,2,34.040,0.158,0,0,9,0,0,1,1,0,0,0,2,0,0,1,0,1,0,0.000,0.000,0.050,0,0.000,0.215,0.000,33.825,0.000
59,2,2,0.246,0,0.000,0,0.000,0.103,0,0,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.025,0.000,0.221,0,0.000,0.000,0.000,0.000,0.000
60,2,1,0.025,1,0.813,1,0.813,0.068,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.025,0,0.000,0.000,0.000,0.813,0.000
61,3,3,3.633,0,0.000,0,0.000,0.182,0,1,12,0,1,1,1,0,1,0,2,0,0,0,0,0,0,3.484,0.000,0.149,0,0.000,0.000,0.000,0.000,0.000
62,2,2,1.263,0,0.000,0,0.000,0.127,0,1,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.563,0.000,0.700,0,0.000,0.000,0.000,0.000,0.000
63,2,1,0.200,1,10.352,1,10.352,0.048,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.200,0,0.000,0.000,0.000,10.352,0.000
64,2,2,5.638,0,0.000,0,0.000,0.134,0,1,123,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0.000,0.000,5.638,0,0.000,0.000,0.000,0.000,0.000
65,2,1,0.030,1,59.622,1,59.622,0.251,0,0,10,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.030,0,0.000,0.000,0.000,59.622,0.000
66,3,3,89.372,0,0.000,0,0.000,2.277,0,1,123,0,0,1,1,0,1,0,2,0,0,0,0,0,0,0.934,0.000,88.438,0,0.000,0.000,0.000,0.000,0.000
67,3,3,182.616,0,0.000,0,0.000,4.520,0,1,21,0,1,1,1,0,1,0,2,0,0,0,0,0,0,30.206,0.000,152.409,0,0.000,0.000,0.000,0.000,0.000
68,2,2,7.562,0,0.000,0,0.000,0.273,0,1,24,0,0,1,1,0,1,0,1,0,0,0,0,0,0,7.537,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
69,2,1,0.020,1,10.800,1,10.800,0.279,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.020,0,0.000,0.000,0.000,10.800,0.000
70,2,1,0.025,1,1.085,1,1.085,0.010,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.025,0,0.000,0.000,0.000,1.085,0.000
71,2,2,4.226,0,0.000,0,0.000,0.199,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.928,0.000,3.299,0,0.000,0.000,0.000,0.000,0.000
72,1,1,0.000,0,0.000,0,0.000,0.000,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000
73,6,6,683.047,0,0.000,0,0.000,16.693,0,1,13,0,0,1,1,0,2,0,4,0,0,0,0,0,0,31.236,0.000,651.811,0,0.000,0.000,0.000,0.000,0.000
74,3,3,0.311,0,0.000,0,0.000,0.104,0,0,8,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0.100,0.000,0.211,0,0.000,0.000,0.000,0.000,0.000
75,3,1,0.200,2,68.938,2,68.938,0.294,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0.000,0.000,0.200,0,0.000,0.000,0.000,68.938,0.000
76,3,1,0.025,2,37.125,2,37.125,0.157,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0.000,0.000,0.025,0,0.000,0.000,0.000,37.125,0.000
77,1,1,1.669,0,0.000,0,0.000,0.039,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,1.669,0,0.000,0.000,0.000,0.000,0.000
78,3,3,1.533,0,0.000,0,0.000,0.133,0,0,10,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1.413,0.000,0.120,0,0.000,0.000,0.000,0.000,0.000
79,5,4,0.442,1,14.041,1,14.041,0.264,0,0,5,0,0,1,1,0,2,0,2,0,0,0,0,1,0,0.312,0.000,0.130,0,0.000,0.000,0.000,14.041,0.000
80,1,1,0.005,0,0.000,0,0.000,0.000,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.005,0,0.000,0.000,0.000,0.000,0.000
81,12,12,285.636,0,0.000,0,0.000,8.678,0,1,46,0,0,1,1,0,3,0,6,1,2,0,0,0,0,19.924,0.000,161.485,11.653,92.574,0.000,0.000,0.000,0.000
82,3,3,83.996,0,0.000,0,0.000,2.031,0,1,36,0,0,0,0,0,1,1,1,0,0,0,0,0,0,8.378,75.593,0.025,0,0.000,0.000,0.000,0.000,0.000
83,1,1,0.010,0,0.000,0,0.000,0.000,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.010,0,0.000,0.000,0.000,0.000,0.000
84,4,4,10.187,0,0.000,0,0.000,0.432,0,1,29,0,1,1,1,0,2,0,2,0,0,0,0,0,0,9.987,0.000,0.201,0,0.000,0.000,0.000,0.000,0.000
85,1,1,0.053,0,0.000,0,0.000,0.001,0,0,6,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.053,0,0.000,0.000,0.000,0.000,0.000
86,4,4,287.030,0,0.000,0,0.000,8.906,0,1,29,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0.000,0.000,33.156,253.874,0.000,0.000,0.000,0.000,0.000
87,4,3,-0.806,1,21.491,1,21.491,0.169,0,0,6,0,1,1,1,0,1,0,2,0,0,0,0,1,0,-0.831,0.000,0.025,0,0.000,0.000,0.000,21.491,0.000
88,2,2,49.454,0,0.000,0,0.000,1.245,0,1,13,0,0,1,0,1,1,0,1,0,0,0,0,0,0,4.383,0.000,45.071,0,0.000,0.000,0.000,0.000,0.000
89,2,1,0.025,1,11.108,1,11.108,0.047,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.025,0,0.000,0.000,0.000,11.108,0.000
90,2,2,0.554,0,0.000,0,0.000,0.110,0,0,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.529,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
91,9,9,212.142,0,0.000,0,0.000,6.370,0,1,45,0,0,1,1,0,2,0,4,1,2,0,0,0,0,39.072,0.000,96.747,10.167,66.155,0.000,0.000,0.000,0.000
92,1,1,0.008,0,0.000,0,0.000,0.000,0,1,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.008,0,0.000,0.000,0.000,0.000,0.000
93,2,1,0.021,1,5.497,1,5.497,0.789,0,0,9,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.000,0.000,0.021,0,0.000,5.497,0.000,0.000,0.000
94,2,1,0.200,1,42.885,1,42.885,0.185,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.200,0,0.000,0.000,0.000,42.885,0.000
95,1,1,0.000,0,0.000,0,0.000,0.000,0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000
96,2,2,0.328,0,0.000,0,0.000,0.105,0,0,2,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.300,0.000,0.028,0,0.000,0.000,0.000,0.000,0.000
97,2,1,0.025,1,17.303,1,17.303,0.158,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.025,0,0.000,0.000,0.000,17.303,0.000
98,2,2,46.830,0,0.000,0,0.000,1.232,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,6.868,0.000,39.961,0,0.000,0.000,0.000,0.000,0.000
99,2,1,0.092,1,1.128,1,1.128,0.012,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.092,0,0.000,0.000,0.000,1.128,0.000
100,2,2,3.219,0,0.000,0,0.000,0.172,0,0,5,0,1,1,1,0,1,0,1,0,0,0,0,0,0,3.194,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
101,2,1,0.025,1,0.755,1,0.755,0.005,0,0,6,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0.000,0.000,0.025,0,0.000,0.000,0.000,0.755,0.000
102,2,2,0.101,0,0.000,0,0.000,0.100,0,0,6,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.076,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
103,2,2,0.594,0,0.000,0,0.000,0.111,0,0,3,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.569,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
104,2,1,0.288,1,3.964,1,3.964,0.024,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.288,0,0.000,0.000,0.000,3.964,0.000
105,2,1,0.025,1,1.759,1,1.759,0.017,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.025,0,0.000,0.000,0.000,1.759,0.000
106,3,3,0.291,0,0.000,0,0.000,0.104,0,0,7,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.008,0.000,0.283,0,0.000,0.000,0.000,0.000,0.000
107,2,2,0.333,0,0.000,0,0.000,0.105,0,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0.208,0.000,0.125,0,0.000,0.000,0.000,0.000,0.000
108,2,1,0.032,1,3.005,1,3.005,0.028,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.032,0,0.000,0.000,0.000,3.005,0.000
109,2,2,1.129,0,0.000,0,0.000,0.124,0,0,4,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0.378,0.000,0.751,0,0.000,0.000,0.000,0.000,0.000
110,2,1,0.020,1,3.738,1,3.738,0.016,0,0,8,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.020,0,0.000,0.000,0.000,3.738,0.000
111,2,2,10.147,0,0.000,0,0.000,0.335,0,0,3,0,1,1,1,0,1,0,1,0,0,0,0,0,0,8.783,0.000,1.364,0,0.000,0.000,0.000,0.000,0.000
112,1,1,22.009,0,0.000,0,0.000,0.537,0,1,38,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000,22.009,0,0.000,0.000,0.000,0.000,0.000
113,2,1,0.025,1,13.479,1,13.479,1.119,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.025,0,0.000,0.000,0.000,13.479,0.000
114,2,1,0.025,1,1.137,1,1.137,0.005,0,1,13,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.025,0,0.000,0.000,0.000,1.137,0.000
115,3,2,0.390,1,0.087,1,0.087,0.107,0,1,16,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.365,0.000,0.025,0,0.000,0.000,0.000,0.087,0.000
116,2,2,0.277,0,0.000,0,0.000,0.104,0,1,17,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.252,0.000,0.026,0,0.000,0.000,0.000,0.000,0.000
117,2,2,0.399,0,0.000,0,0.000,0.107,0,1,13,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.073,0.000,0.326,0,0.000,0.000,0.000,0.000,0.000
118,2,1,0.030,1,38.145,1,38.145,0.161,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.030,0,0.000,0.000,0.000,38.145,0.000
119,2,1,0.513,1,27.323,1,27.323,0.127,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.513,0,0.000,0.000,0.000,27.323,0.000
120,2,2,1.942,0,0.000,0,0.000,0.143,0,1,11,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1.917,0.000,0.025,0,0.000,0.000,0.000,0.000,0.000
121,1,1,1.336,0,0.000,0,0.000,0.031,0,1,45,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,1.336,0,0.000,0.000,0.000,0.000,0.000
122,4,4,73.290,0,0.000,0,0.000,1.815,0,1,47,0,0,1,1,0,1,1,2,0,0,0,0,0,0,32.483,24.625,16.182,0,0.000,0.000,0.000,0.000,0.000
123,1,1,0.040,0,0.000,0,0.000,0.001,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.040,0,0.000,0.000,0.000,0.000,0.000
124,2,2,390.568,0,0.000,0,0.000,9.198,0,0,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,390.368,0.000,0.200,0,0.000,0.000,0.000,0.000,0.000
125,1,1,0.026,0,0.000,0,0.000,0.001,0,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.000,0.000,0.026,0,0.000,0.000,0.000,0.000,0.000
126,2,1,0.025,1,8.472,1,8.472,0.036,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.025,0,0.000,0.000,0.000,8.472,0.000
127,6,3,0.135,3,63.333,3,63.333,0.366,0,0,10,0,0,1,1,0,1,0,2,0,0,0,0,3,0,0.106,0.000,0.029,0,0.000,0.000,0.000,63.333,0.000
128,2,1,0.025,1,5.382,1,5.382,0.023,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.025,0,0.000,0.000,0.000,5.382,0.000
129,1,1,0.005,0,0.000,0,0.000,0.000,0,0,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.005,0,0.000,0.000,0.000,0.000,0.000
130,1,1,0.033,0,0.000,0,0.000,0.098,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.033,0.000,0.000,0,0.000,0.000,0.000,0.000,0.000
131,2,2,0.611,0,0.000,0,0.000,0.111,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0.111,0.000,0.500,0,0.000,0.000,0.000,0.000,0.000
132,6,6,2.398,0,0.000,0,0.000,0.348,0,0,2,0,1,1,1,0,3,0,3,0,0,0,0,0,0,2.248,0.000,0.150,0,0.000,0.000,0.000,0.000,0.000
133,3,2,0.254,1,26.517,1,26.517,0.215,0,0,6,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0.187,0.000,0.067,0,0.000,0.000,0.000,26.517,0.000
134,1,1,0.337,0,0.000,0,0.000,0.008,0,0,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.000,0.000,0.337,0,0.000,0.000,0.000,0.000,0.000
135,2,1,0.074,1,2.250,1,2.250,0.011,0,1,21,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.074,0,0.000,0.000,0.000,2.250,0.000
136,2,1,0.195,1,13.538,1,13.538,0.062,0,0,4,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.195,0,0.000,0.000,0.000,13.538,0.000
137,2,2,2.223,0,0.000,0,0.000,0.149,0,0,6,0,1,1,1,0,1,0,1,0,0,0,0,0,0,2.166,0.000,0.056,0,0.000,0.000,0.000,0.000,0.000
138,2,2,11.375,0,0.000,0,0.000,0.364,0,1,13,0,0,1,1,0,1,0,1,0,0,0,0,0,0,9.484,0.000,1.891,0,0.000,0.000,0.000,0.000,0.000
139,2,1,0.072,1,19.312,1,19.312,0.326,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.072,0,0.000,0.000,0.000,19.312,0.000
140,2,1,0.027,1,2.450,1,2.450,0.011,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.027,0,0.000,0.000,0.000,2.450,0.000
141,2,1,0.025,1,17.312,1,17.312,0.073,0,0,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0.000,0.000,0.025,0,0.000,0.000,0.000,17.312,0.000
142,1,1,0.006,0,0.000,0,0.000,0.000,0,0,6,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.000,0.000,0.006,0,0.000,0.000,0.000,0.000,0.000
143,1,1,0.414,0,0.000,0,0.000,0.010,0,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.000,0.000,0.414,0,0.000,0.000,0.000,0.000,0.000
